title,genres
Toy Story,Animation Adventure Comedy
Jumanji,Adventure Fantasy
The Dark Knight,Action Crime Drama
Inception,Action Sci-Fi Thriller
Interstellar,Adventure Drama Sci-Fi
Titanic,Romance Drama
Avengers,Action Adventure Sci-Fi
Iron Man,Action Adventure Sci-Fi
Captain America: The First Avenger,Action Adventure Sci-Fi
Thor,Action Adventure Fantasy
The Avengers,Action Adventure Sci-Fi
Avengers: Age of Ultron,Action Adventure Sci-Fi
Avengers: Infinity War,Action Adventure Sci-Fi
Avengers: Endgame,Action Adventure Sci-Fi
Spider-Man: Homecoming,Action Adventure Sci-Fi
Spider-Man: No Way Home,Action Adventure Sci-Fi
Doctor Strange,Action Adventure Fantasy
Guardians of the Galaxy,Action Adventure Sci-Fi Comedy
Black Panther,Action Adventure Sci-Fi
Batman Begins,Action Crime Drama
The Dark Knight Rises,Action Crime Drama
Man of Steel,Action Adventure Sci-Fi
Justice League,Action Adventure Fantasy
Wonder Woman,Action Adventure Fantasy
Superman Returns,Action Adventure Sci-Fi
Harry Potter and the Sorcerer's Stone,Adventure Fantasy
Harry Potter and the Chamber of Secrets,Adventure Fantasy
Harry Potter and the Prisoner of Azkaban,Adventure Fantasy
Harry Potter and the Goblet of Fire,Adventure Fantasy
Harry Potter and the Order of the Phoenix,Adventure Fantasy
Harry Potter and the Half-Blood Prince,Adventure Fantasy
Harry Potter and the Deathly Hallows,Adventure Fantasy
The Lord of the Rings: The Fellowship of the Ring,Adventure Fantasy Drama
The Lord of the Rings: The Two Towers,Adventure Fantasy Drama
The Lord of the Rings: The Return of the King,Adventure Fantasy Drama
The Hobbit: An Unexpected Journey,Adventure Fantasy
The Hobbit: The Desolation of Smaug,Adventure Fantasy
The Hobbit: The Battle of the Five Armies,Adventure Fantasy
The Matrix,Action Sci-Fi
The Matrix Reloaded,Action Sci-Fi
The Matrix Revolutions,Action Sci-Fi
Gladiator,Action Drama
Braveheart,Action Drama
Troy,Action Drama
Jurassic Park,Adventure Sci-Fi
Jurassic World,Adventure Sci-Fi
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure Fantasy Action
Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action
Pirates of the Caribbean: At World's End,Adventure Fantasy Action
Fast & Furious,Action Crime Thriller
Furious 7,Action Crime Thriller
The Fast and the Furious: Tokyo Drift,Action Crime Thriller
Mission: Impossible,Action Thriller
Mission: Impossible – Fallout,Action Thriller
Skyfall,Action Thriller
No Time to Die,Action Thriller
The Shawshank Redemption,Drama
Forrest Gump,Drama Romance
The Godfather,Crime Drama
The Godfather Part II,Crime Drama
Fight Club,Drama Thriller
The Social Network,Drama
The Wolf of Wall Street,Crime Drama
Joker,Crime Drama Thriller
Parasite,Thriller Drama
